2008,11,3,MYL,Sell,100
2008,11,20,NVDA,Buy,100
2008,11,28,NVDA,Sell,100
2009,2,25,NWL,Buy,100
2009,3,4,NWL,Sell,100
2008,11,20,NWSA,Buy,100
2008,11,28,NWSA,Sell,100
2009,2,23,NWSA,Buy,100
2009,3,2,NWSA,Sell,100
2009,2,26,NWSA,Buy,100
2009,3,5,NWSA,Sell,100
2009,11,6,PCS,Buy,100
2009,11,13,PCS,Sell,100
2009,11,10,PCS,Buy,100
2009,11,17,PCS,Sell,100
2009,3,9,PFG,Buy,100
2009,3,16,PFG,Sell,100
2009,1,20,RF,Buy,100
2009,1,27,RF,Sell,100
2009,4,20,RF,Buy,100
2009,4,27,RF,Sell,100
2009,4,22,RF,Buy,100
2009,4,29,RF,Sell,100
2009,5,11,RF,Buy,100
2009,5,18,RF,Sell,100
2009,10,1,RF,Buy,100
2009,10,8,RF,Sell,100
2009,10,8,RF,Buy,100
2009,10,15,RF,Sell,100
2009,10,13,RF,Buy,100
2009,10,20,RF,Sell,100
2009,10,16,RF,Buy,100
2009,10,23,RF,Sell,100
2009,3,5,RRD,Buy,100
2009,3,12,RRD,Sell,100
2008,3,13,S,Buy,100
2008,3,20,S,Sell,100
2008,3,17,S,Buy,100
2008,3,25,S,Sell,100
2008,9,17,S,Buy,100
2008,9,24,S,Sell,100
2008,10,3,S,Buy,100
2008,10,10,S,Sell,100
2008,11,19,SLM,Buy,100
2008,11,26,SLM,Sell,100
2009,2,26,SLM,Buy,100
2009,3,5,SLM,Sell,100
2009,4,14,SLM,Buy,100
2009,4,21,SLM,Sell,100
2009,4,16,SLM,Buy,100
2009,4,23,SLM,Sell,100
2009,5,7,SLM,Buy,100
2009,5,14,SLM,Sell,100
2009,5,11,SLM,Buy,100
2009,5,18,SLM,Sell,100
2009,5,22,SLM,Buy,100
2009,6,1,SLM,Sell,100
2009,6,3,SLM,Buy,100
2009,6,10,SLM,Sell,100
2008,11,20,SNDK,Buy,100
2008,11,28,SNDK,Sell,100
2008,11,11,STX,Buy,100
2008,11,18,STX,Sell,100
2009,3,30,STX,Buy,100
2009,4,6,STX,Sell,100
2009,4,1,STX,Buy,100
2009,4,8,STX,Sell,100
2009,4,15,STX,Buy,100
2009,4,22,STX,Sell,100
2008,10,9,TER,Buy,100
2008,10,16,TER,Sell,100
2008,10,15,TER,Buy,100
2008,10,22,TER,Sell,100
2008,10,21,TER,Buy,100
2008,10,28,TER,Sell,100
2009,5,13,TER,Buy,100
2009,5,20,TER,Sell,100
2008,5,7,THC,Buy,100
2008,5,14,THC,Sell,100
2008,6,6,THC,Buy,100
2008,6,13,THC,Sell,100
2008,8,5,THC,Buy,100
2008,8,12,THC,Sell,100
2008,8,25,THC,Buy,100
2008,9,2,THC,Sell,100
2008,9,16,THC,Buy,100
2008,9,23,THC,Sell,100
2008,9,29,THC,Buy,100
2008,10,6,THC,Sell,100
2009,10,16,THC,Buy,100
2009,10,23,THC,Sell,100
2009,10,23,THC,Buy,100
2009,10,30,THC,Sell,100
2008,11,20,TIE,Buy,100
2008,11,28,TIE,Sell,100
2009,2,25,TIE,Buy,100
2009,3,4,TIE,Sell,100
